uniq_region,urban,age_s,prev,sens,spec
GN6_Conakry,Urban,-1.4437876687209321,0.01825,0.3875,0.014
GN6_Boke,Urban,-1.4437876687209321,0.09225,0.294,0.06475
GN6_Labe,Urban,-1.4437876687209321,0.1325,0.17825,0.036
GN6_Kankan,Urban,-1.4437876687209321,0.248,0.462,0.162
GN6_N'Zerekore,Urban,-1.4437876687209321,0.272,0.439,0.17125
GN6_Kindia,Rural,-1.4437876687209321,0.511,0.685,0.21775
GN6_Mamou,Rural,-1.4437876687209321,0.36875,0.55425,0.1645
GN6_Faranah,Rural,-1.4437876687209321,0.682,0.8335,0.3815
GN6_Conakry,Rural,-1.4437876687209321,0.06975,0.6865,0.0835
GN6_Boke,Rural,-1.4437876687209321,0.1885,0.67475,0.2555
GN6_Labe,Rural,-1.4437876687209321,0.2855,0.43875,0.13425
GN6_Kankan,Rural,-1.4437876687209321,0.5135,0.845,0.50475
GN6_N'Zerekore,Rural,-1.4437876687209321,0.6285,0.774,0.39975
GN6_Kindia,Urban,-0.5406966535852056,0.23475,0.332,0.09475
GN6_Mamou,Urban,-0.5406966535852056,0.1745,0.30225,0.08325
GN6_Faranah,Urban,-0.5406966535852056,0.361,0.57425,0.2115
GN6_Conakry,Urban,-0.5406966535852056,0.01925,0.472,0.01275
GN6_Boke,Urban,-0.5406966535852056,0.11975,0.35075,0.08225
GN6_Labe,Urban,-0.5406966535852056,0.157,0.22,0.042
GN6_Kankan,Urban,-0.5406966535852056,0.289,0.50175,0.191
GN6_N'Zerekore,Urban,-0.5406966535852056,0.30575,0.51975,0.20025
GN6_Kindia,Rural,-0.5406966535852056,0.557,0.73625,0.244
GN6_Mamou,Rural,-0.5406966535852056,0.4325,0.613,0.1945
GN6_Faranah,Rural,-0.5406966535852056,0.7275,0.858,0.43125
GN6_Conakry,Rural,-0.5406966535852056,0.0825,0.75625,0.08675
GN6_Boke,Rural,-0.5406966535852056,0.22625,0.7305,0.2985
GN6_Labe,Rural,-0.5406966535852056,0.32075,0.52625,0.157
GN6_Kankan,Rural,-0.5406966535852056,0.5785,0.864,0.538
GN6_N'Zerekore,Rural,-0.5406966535852056,0.68075,0.8005,0.45425
